video_id,video_title,channel_title,channel_id,thumbnail_url,view_cnt,body_part
_-9AR9E8WX8,"가슴근육 키우려면 &#39;벤치프레스&#39; 하지 마세요! (닉워커 가슴운동 루틴 | 윗가슴 운동 방법)",헬창극장,UCcCgfu0Vw4DeGIkeiCBG7tg,https://i.ytimg.com/vi/_-9AR9E8WX8/default.jpg,0,가슴
_2F9QBgNdMU,"벤치프레스 보다 머신이 가슴운동 더 잘되고 좋은 이유",파워게르만POGER,UCDrSrFeBwyE7jTG-s0aQPUw,https://i.ytimg.com/vi/_2F9QBgNdMU/default.jpg,0,가슴
_8cbHuW6w98,"등 운동 하나로 전신 체형이 바뀐다?! 굽은 등 되돌리면 생기는 변화는? | 나는 몸신이다 273 회","채널에이드: 채널A Drama & Enjoy",UCB-ogYCX9Me8nP9gEGpMjUg,https://i.ytimg.com/vi/_8cbHuW6w98/default.jpg,0,등
_8GyBX4F8SE,"딱 3분, 누워서 쉽게 윗뱃살 빼는 최고의 운동 BEST 3 |짧고 굵게 집에서 뱃살 빼는 복근 운동","발레테라핏 Ballet Thera Fit",UCcmCbG1-TDwpJwosHt8QP5A,https://i.ytimg.com/vi/_8GyBX4F8SE/default.jpg,0,복부
_AH7u-q7V3M,"맨몸으로 층간 소음 없이 빠르게 칼로리 태우는 전신 운동 루틴🔥 [근력 유산소: 웨이홈트]","핏블리 FITVELY",UC3hRpIQ4x5niJDwjajQSVPg,https://i.ytimg.com/vi/_AH7u-q7V3M/default.jpg,0,전신
_CWh_oKTXVs,"초보 복근운동 홈트. 출산 후 뱃살, 쳐진뱃살 탄력주기 복근운동 홈트레이닝 여자.","빅씨스 Bigsis",UCfDkQiPchwM0F2SkHWl5JYQ,https://i.ytimg.com/vi/_CWh_oKTXVs/default.jpg,0,복부
_cXw90lGWWk,"운동루틴 추천 - 2분할 상체루틴 가슴/등 운동 효과적으로 하는법 | 초보자를 위한 자세한 ASMR 설명",피티아메리카,UCPDVsG87koBteE927nnEVZQ,https://i.ytimg.com/vi/_cXw90lGWWk/default.jpg,0,등
_d3fe-AodHI,"뱃살 집중공략! 서서하는 복부운동 40분! - 목통증❌ 반복❌",MIZI,UCQ2vUGzZrLpUBqsmsL_5EIQ,https://i.ytimg.com/vi/_d3fe-AodHI/default.jpg,0,복부
_EM7BbU43Os,"[개근질닷컴] MR. OLYMPIA, IFBB Pro 보디빌더 김준호 하체 운동 / MR. OLYMPIA, IFBB Pro KIM JUN HO Leg Workout",개근질닷컴GGJ,UCEZVpfgaHLcWt5dMCOOy82A,https://i.ytimg.com/vi/_EM7BbU43Os/default.jpg,0,하체
_gbtMLulXPM,[김뽀홈트]악마의전신운동,"kimbbomami 김뽀마미",UCRhdSOsdo7upnTIP7tObYnw,https://i.ytimg.com/vi/_gbtMLulXPM/default.jpg,0,전신
